Date,Year,t,Elevation,Change,Content,Inflow,Outflow
01-Jul,2022,0,1042.91,-0.11,7179000,11596,14300
02-Jul,2022,1,1042.83,-0.08,7174000,11414,12500
03-Jul,2022,2,1042.76,-0.07,7169000,10664,11900
04-Jul,2022,3,1042.79,0.03,7171000,13777,11200
05-Jul,2022,4,1042.64,-0.15,7160570,9066,12903
06-Jul,2022,5,1042.56,-0.08,7155000,10477,12100
07-Jul,2022,6,1042.35,-0.21,7140000,9951,16400
08-Jul,2022,7,1042.17,-0.18,7128000,12551,17400
09-Jul,2022,8,1042.05,-0.12,7119000,11652,14900
10-Jul,2022,9,1041.99,-0.06,7115000,12815,13500
11-Jul,2022,10,1041.91,-0.08,7110000,13805,14900
12-Jul,2022,11,1041.76,-0.15,7099346,9350,13675
13-Jul,2022,12,1041.56,-0.2,7085000,8604,14500
14-Jul,2022,13,1041.46,-0.1,7079000,13597,15200
15-Jul,2022,14,1041.39,-0.07,7074000,14528,15600
16-Jul,2022,15,1041.35,-0.04,7071000,13601,13600
17-Jul,2022,16,1041.3,-0.05,7067000,13166,13800
18-Jul,2022,17,1041.17,-0.13,7058000,12630,15800
19-Jul,2022,18,1041.04,-0.13,7049000,10552,13900
20-Jul,2022,19,1040.91,-0.13,7040450,10785,14042
21-Jul,2022,20,1040.76,-0.15,7030000,11096,14900
22-Jul,2022,21,1040.72,-0.04,7027000,13770,13700
23-Jul,2022,22,1040.72,0,7027000,12244,10600
24-Jul,2022,23,1040.69,-0.03,7025000,12455,12000
25-Jul,2022,24,1040.73,0.04,7028000,14786,11700
26-Jul,2022,25,1040.66,-0.07,7023000,11385,12500
27-Jul,2022,26,1040.63,-0.03,7021000,12056,11600
28-Jul,2022,27,1040.58,-0.05,7018000,11334,11400
29-Jul,2022,28,1040.7,0.12,7026000,17958,12200
30-Jul,2022,29,1040.82,0.12,7034000,16564,10800
31-Jul,2022,30,1040.92,0.1,7041000,16264,11200
01-Aug,2022,31,1040.91,-0.01,7040000,15015,14100
02-Aug,2022,32,1040.8,-0.11,7033000,14786,17000
03-Aug,2022,33,1040.77,-0.03,7031000,13173,12700
04-Aug,2022,34,1040.93,0.16,7042000,15154,7730
05-Aug,2022,35,1041.14,0.21,7056000,16567,7490
06-Aug,2022,36,1041.33,0.19,7070000,16913,7880
07-Aug,2022,37,1041.46,0.13,7079000,15096,8820
08-Aug,2022,38,1041.53,0.07,7083000,14538,10800
09-Aug,2022,39,1041.5,-0.03,7081000,10387,9910
10-Aug,2022,40,1041.51,0.01,7082000,12119,9980
11-Aug,2022,41,1041.56,0.05,7085000,13949,10700
12-Aug,2022,42,1041.74,0.18,7098000,16617,8040
13-Aug,2022,43,1042,0.26,7116000,17471,6240
14-Aug,2022,44,1042.21,0.21,7131000,15901,6330
15-Aug,2022,45,1042.32,0.11,7138000,15466,10300
16-Aug,2022,46,1042.36,0.04,7141000,12694,9520
17-Aug,2022,47,1042.48,0.12,7149000,15610,9820
18-Aug,2022,48,1042.61,0.13,7158000,16154,9790
19-Aug,2022,49,1042.84,0.23,7175000,18382,7740
20-Aug,2022,50,1043.07,0.23,7191000,16043,5910
21-Aug,2022,51,1043.29,0.22,7206000,16352,6830
22-Aug,2022,52,1043.42,0.13,7215000,15927,9550
23-Aug,2022,53,1043.43,0.01,7216000,12388,10300
24-Aug,2022,54,1043.48,0.05,7219000,15795,12600
25-Aug,2022,55,1043.48,0,7219000,13309,11700
26-Aug,2022,56,1043.61,0.13,7228000,15459,9030
27-Aug,2022,57,1043.83,0.22,7244000,16481,6320
28-Aug,2022,58,1044.04,0.21,7259000,14897,5380
29-Aug,2022,59,1044.2,0.16,7270000,15356,7900
30-Aug,2022,60,1044.29,0.09,7276000,12802,7960
31-Aug,2022,61,1044.28,-0.01,7275000,11785,10700
01-Sep,2022,62,1044.31,0.03,7277000,14204,11500
02-Sep,2022,63,1044.38,0.07,7282000,14612,10300
03-Sep,2022,64,1044.37,-0.01,7282000,13899,12300
04-Sep,2022,65,1044.26,-0.11,7274000,10174,13000
05-Sep,2022,66,1044.23,-0.03,7272000,11487,11000
06-Sep,2022,67,1044.1,-0.13,7263000,9044,12300
07-Sep,2022,68,1044.04,-0.06,7259000,10302,10900
08-Sep,2022,69,1043.94,-0.1,7251000,9996,12700
09-Sep,2022,70,1043.78,-0.16,7240000,9677,14000
10-Sep,2022,71,1043.79,0.01,7241000,11644,9560
11-Sep,2022,72,1043.85,0.06,7245000,11069,7520
12-Sep,2022,73,1043.86,0.01,7246000,11185,9170
13-Sep,2022,74,1043.96,0.1,7253000,12997,7850
14-Sep,2022,75,1044.01,0.05,7256000,10404,7350
15-Sep,2022,76,1044.12,0.11,7264000,13608,7850
16-Sep,2022,77,1044.26,0.14,7274000,14443,7590
17-Sep,2022,78,1044.33,0.07,7279000,10973,6800
18-Sep,2022,79,1044.41,0.08,7285000,12033,7410
19-Sep,2022,80,1044.43,0.02,7286000,9928,7900
20-Sep,2022,81,1044.45,0.02,7287000,9505,7460
21-Sep,2022,82,1044.52,0.07,7292000,10859,6650
22-Sep,2022,83,1044.61,0.09,7299000,11400,6130
23-Sep,2022,84,1044.65,0.04,7301000,9953,7380
24-Sep,2022,85,1044.78,0.13,7311000,12311,5430
25-Sep,2022,86,1044.87,0.09,7317000,11659,6990
26-Sep,2022,87,1044.94,0.07,7322000,11410,7230
27-Sep,2022,88,1044.98,0.04,7325000,12042,8890
28-Sep,2022,89,1044.98,0,7325000,12062,10600
29-Sep,2022,90,1045,0.02,7326000,11373,9360
30-Sep,2022,91,1045.03,0.03,7328000,10237,7740
01-Oct,2022,92,1045.04,0.01,7329000,10048,8170
02-Oct,2022,93,1045.15,0.11,7337000,12546,6990
03-Oct,2022,94,1045.21,0.06,7341000,10383,6890
04-Oct,2022,95,1045.25,0.04,7344000,9695,6720
05-Oct,2022,96,1045.32,0.07,7349000,11230,7170
06-Oct,2022,97,1045.38,0.06,7353000,10157,6610
07-Oct,2022,98,1045.42,0.04,7356000,9527,6530
08-Oct,2022,99,1045.49,0.07,7361000,10797,6740
09-Oct,2022,100,1045.59,0.1,7367724,10543,5473
10-Oct,2022,101,1045.6,0.01,7368000,10457,9060
11-Oct,2022,102,1045.6,0,7368000,11011,9590
12-Oct,2022,103,1045.55,-0.05,7365000,9817,10100
13-Oct,2022,104,1045.51,-0.04,7362000,9554,9750
14-Oct,2022,105,1045.46,-0.05,7359000,9639,9940
15-Oct,2022,106,1045.46,0,7359000,10143,8780
16-Oct,2022,107,1045.42,-0.04,7356000,8159,8510
17-Oct,2022,108,1045.52,0.1,7363000,10199,5070
18-Oct,2022,109,1045.62,0.1,7370000,8802,3700
19-Oct,2022,110,1045.76,0.14,7380000,9525,2810
20-Oct,2022,111,1045.9,0.14,7390000,9704,2970
21-Oct,2022,112,1046.03,0.13,7398870,8644,2492
22-Oct,2022,113,1046.23,0.2,7413000,11158,2320
23-Oct,2022,114,1046.36,0.13,7422000,8482,2400
24-Oct,2022,115,1046.38,0.02,7423699,9597,7199
25-Oct,2022,116,1046.36,-0.02,7422000,7726,7500
26-Oct,2022,117,1046.35,-0.01,7422000,8794,7450
27-Oct,2022,118,1046.33,-0.02,7420000,9027,8760
28-Oct,2022,119,1046.29,-0.04,7417000,7783,8060
29-Oct,2022,120,1046.29,0,7417000,8672,7350
30-Oct,2022,121,1046.28,-0.01,7416605,8823,7600
31-Oct,2022,122,1046.28,0,7417000,9393,8050
01-Nov,2022,123,1046.08,-0.2,7402000,7155,14000
02-Nov,2022,124,1045.83,-0.25,7385000,6992,14900
03-Nov,2022,125,1045.71,-0.12,7376000,9828,13500
04-Nov,2022,126,1045.55,-0.16,7365000,8642,13400
05-Nov,2022,127,1045.41,-0.14,7355000,9122,13300
06-Nov,2022,128,1045.29,-0.12,7347000,9390,12600
07-Nov,2022,129,1045.11,-0.18,7334000,8485,14300
08-Nov,2022,130,1044.89,-0.22,7318000,6455,13900
09-Nov,2022,131,1044.75,-0.14,7308000,10070,14300
10-Nov,2022,132,1044.65,-0.1,7301000,11229,13800
11-Nov,2022,133,1044.5,-0.15,7291000,8880,13100
12-Nov,2022,134,1044.41,-0.09,7285000,8877,11000
13-Nov,2022,135,1044.36,-0.05,7280996,9225,10349
14-Nov,2022,136,1044.36,0,7280996,11258,10106
15-Nov,2022,137,1044.27,-0.09,7274672,8244,10267
16-Nov,2022,138,1044.18,-0.09,7268348,8458,11070
17-Nov,2022,139,1044.06,-0.12,7259916,8376,11508
18-Nov,2022,140,1043.95,-0.11,7252000,9940,13100
19-Nov,2022,141,1043.85,-0.1,7245000,8566,11200
20-Nov,2022,142,1043.81,-0.04,7242000,9404,9900
21-Nov,2022,143,1043.73,-0.08,7237000,10161,11700
22-Nov,2022,144,1043.64,-0.09,7230000,8300,10900
23-Nov,2022,145,1043.58,-0.06,7226000,10312,11300
24-Nov,2022,146,1043.46,-0.12,7218000,7966,11100
25-Nov,2022,147,1043.39,-0.07,7213000,9059,10600
26-Nov,2022,148,1043.36,-0.03,7211000,9897,9840
27-Nov,2022,149,1043.29,-0.07,7206000,8815,10400
28-Nov,2022,150,1043.19,-0.1,7199000,8508,11100
29-Nov,2022,151,1043.1,-0.09,7193000,9393,11500
30-Nov,2022,152,1043.02,-0.08,7187000,9238,11300
01-Dec,2022,153,1042.89,-0.13,7178000,6458,10300
02-Dec,2022,154,1042.94,0.05,7181000,11212,8590
03-Dec,2022,155,1043.02,0.08,7187000,10668,6440
04-Dec,2022,156,1043.12,0.1,7194000,10085,5290
05-Dec,2022,157,1043.19,0.07,7199000,10963,7260
06-Dec,2022,158,1043.26,0.07,7204000,10961,7300
07-Dec,2022,159,1043.28,0.02,7205000,9845,8330
08-Dec,2022,160,1043.31,0.03,7207000,10641,8590
09-Dec,2022,161,1043.36,0.05,7211000,11037,7940
10-Dec,2022,162,1043.44,0.08,7216000,10012,6420
11-Dec,2022,163,1043.56,0.12,7225000,12431,6670
12-Dec,2022,164,1043.45,-0.11,7217000,6622,9940
13-Dec,2022,165,1043.47,0.02,7219000,12109,10100
14-Dec,2022,166,1043.47,0,7219000,9178,8160
15-Dec,2022,167,1043.54,0.07,7223000,10103,6920
16-Dec,2022,168,1043.67,0.13,7233000,11043,4700
17-Dec,2022,169,1043.81,0.14,7242000,10621,4860
18-Dec,2022,170,1043.9,0.09,7249000,10716,6000
19-Dec,2022,171,1043.94,0.04,7251000,8772,6720
20-Dec,2022,172,1043.99,0.05,7255000,10079,6970
21-Dec,2022,173,1044.04,0.05,7258510,10962,7788
22-Dec,2022,174,1044.03,-0.01,7258000,9125,8630
23-Dec,2022,175,1044.13,0.1,7265000,10829,6050
24-Dec,2022,176,1044.2,0.07,7270000,9968,6240
25-Dec,2022,177,1044.32,0.12,7278000,12080,6810
26-Dec,2022,178,1044.39,0.07,7283000,10091,6380
27-Dec,2022,179,1044.5,0.11,7291000,11172,5840
28-Dec,2022,180,1044.58,0.08,7296000,9896,6190
29-Dec,2022,181,1044.69,0.11,7304000,11686,6370
30-Dec,2022,182,1044.76,0.07,7309000,10585,6900
31-Dec,2022,183,1044.82,0.06,7313000,9366,6250