Month,t,Elevation
Jan 2020,0,1094.68
Feb 2020,1,1096.27
Mar 2020,2,1098.59
Apr 2020,3,1096.39
May 2020,4,1091.32
Jun 2020,5,1087.07
Jul 2020,6,1084.63
Aug 2020,7,1084.04
Sep 2020,8,1083.21
Oct 2020,9,1081.88
Nov 2020,10,1081.07
Dec 2020,11,1083.72
Jan 2021,12,1085.95
Feb 2021,13,1087.26
Mar 2021,14,1084.39
Apr 2021,15,1079.3
May 2021,16,1073.5
Jun 2021,17,1068.77
Jul 2021,18,1067.65
Aug 2021,19,1067.96
Sep 2021,20,1067.68
Oct 2021,21,1066.77
Nov 2021,22,1064.97
Dec 2021,23,1066.39
Jan 2022,24,1067.09
Feb 2022,25,1066.78
Mar 2022,26,1061.49
Apr 2022,27,1054.69
May 2022,28,1047.69
Jun 2022,29,1043.02
Jul 2022,30,1040.92
Aug 2022,31,1044.28
Sep 2022,32,1045.03
Oct 2022,33,1046.28
Nov 2022,34,1043.02
Dec 2022,35,1044.82
Jan 2023,36,1046.97
Feb 2023,37,1047.02
Mar 2023,38,1046.03
Apr 2023,39,1049.69
May 2023,40,1054.28
Jun 2023,41,1056.39